                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82852,                0.51172,                0.93221,                0.88288,                0.93133,                0.96908,                0.74809,                0.91537,                0.55651,                0.95507,               0.070385,              0.0032906,              0.0032906
                      1,                0.85911,                0.50497,                0.92716,                0.89064,                 0.9312,                0.97166,                 0.7658,                0.85834,                0.53044,                0.93716,               0.040253,              0.0064928,              0.0064928
                      2,                0.92965,                0.51977,                0.96038,                 0.8622,                0.93815,                0.96568,                0.78183,                0.82322,                0.56428,                0.93491,              0.0099903,               0.009563,               0.009563
                      3,                0.93563,                0.50115,                0.95684,                  0.877,                0.92299,                0.96663,                0.70762,                 1.0644,                0.59268,                 1.0123,               0.009406,               0.009406,               0.009406
                      4,                0.95859,                0.51368,                0.95191,                0.90014,                0.91259,                 0.9709,                0.72466,                 1.0269,                0.51273,                      1,               0.009406,               0.009406,               0.009406
                      5,                0.93573,                0.50378,                0.95867,                0.88074,                0.92394,                0.96666,                0.78744,                0.78406,                0.55606,                0.92358,               0.009208,               0.009208,               0.009208
                      6,                0.91057,                0.50945,                0.94752,                0.88879,                0.92992,                0.96934,                0.77028,                0.86586,                0.50515,                0.94406,                0.00901,                0.00901,                0.00901
                      7,                0.93697,                0.49716,                0.94368,                0.87956,                0.92562,                0.96637,                0.74489,                 0.9469,                0.51762,                0.96796,               0.008812,               0.008812,               0.008812
                      8,                0.91243,                0.48617,                0.94563,                0.87676,                0.92689,                0.96327,                0.76581,                0.83435,                0.53794,                0.93457,               0.008614,               0.008614,               0.008614
                      9,                0.89372,                0.50335,                0.95602,                0.87745,                0.92999,                0.96816,                0.78614,                0.80057,                0.51004,                0.92525,               0.008416,               0.008416,               0.008416
                     10,                0.88658,                0.50502,                0.93279,                0.88663,                0.92836,                0.96995,                 0.7542,                 0.9293,                0.54683,                0.96212,               0.008218,               0.008218,               0.008218
                     11,                0.89645,                0.50321,                0.93587,                0.88389,                0.93173,                0.96998,                0.79849,                0.77158,                0.47865,                0.92232,                0.00802,                0.00802,                0.00802
                     12,                0.87364,                0.47813,                0.94099,                0.87896,                0.93418,                0.96858,                0.73879,                0.96368,                0.52387,                0.97875,               0.007822,               0.007822,               0.007822
                     13,                0.87678,                0.47945,                0.93394,                0.87471,                0.93303,                0.96352,                0.75697,                 0.8951,                0.54581,                0.95583,               0.007624,               0.007624,               0.007624
                     14,                0.86411,                0.48441,                0.93675,                0.87381,                0.93475,                0.96541,                0.74838,                0.91767,                0.56287,                0.95785,               0.007426,               0.007426,               0.007426
                     15,                0.86814,                0.47611,                0.92296,                0.88828,                0.92774,                0.96957,                0.72221,                 1.0194,                0.53713,                0.99772,               0.007228,               0.007228,               0.007228
                     16,                0.85454,                0.48439,                0.92685,                0.89296,                0.92585,                0.97267,                0.79979,                0.78243,                0.45319,                0.91721,                0.00703,                0.00703,                0.00703
                     17,                0.83934,                0.46486,                0.92683,                 0.8757,                0.92733,                0.96475,                0.76571,                0.85951,                0.54001,                0.94535,               0.006832,               0.006832,               0.006832
